,lat.x,long.x,soil.depth.upper
481,-15.591667,-47.7,10
482,-15.591667,-47.7,20
483,-15.591667,-47.7,0
484,-15.591667,-47.7,10
485,-15.591667,-47.7,20
486,-15.591667,-47.7,0
487,-15.591667,-47.7,10
488,-15.591667,-47.7,20
489,-36.610542,-63.980061,0
490,-36.610542,-63.980061,0
491,-36.610542,-63.980061,0
492,-36.610542,-63.980061,0
493,-36.610542,-63.980061,6
494,-36.610542,-63.980061,6
495,-36.610542,-63.980061,6
496,-36.610542,-63.980061,6
497,-28.25,-52.4,0
498,-28.25,-52.4,0
499,-28.25,-52.4,0
500,-28.25,-52.4,0
501,-28.25,-52.4,5
502,-28.25,-52.4,5
503,-28.25,-52.4,5
504,-28.25,-52.4,5
505,-28.25,-52.4,10
506,-28.25,-52.4,10
507,-28.25,-52.4,10
508,-28.25,-52.4,10
509,46.8267,-100.8896,0
510,46.8267,-100.8896,0
511,41.1448,-102.9774,0
512,41.1448,-102.9774,0
513,39.3033,-102.6046,0
514,39.3033,-102.6046,0
515,35.1905,-102.0639,0
516,35.1905,-102.0639,0
517,39.1836,-96.5717,0
518,39.1836,-96.5717,0
519,38.0406,-84.5037,0
520,38.0406,-84.5037,0
521,46.8267,-100.8896,5
522,46.8267,-100.8896,5
523,41.1448,-102.9774,5
524,41.1448,-102.9774,5
525,39.3033,-102.6046,5
526,39.3033,-102.6046,5
527,35.1905,-102.0639,5
528,35.1905,-102.0639,5
529,39.1836,-96.5717,5
530,39.1836,-96.5717,5
531,38.0406,-84.5037,5
532,38.0406,-84.5037,5
533,35.2,107.733333,5
534,35.2,107.733333,5
535,35.2,107.733333,5
536,35.2,107.733333,5
537,35.2,107.733333,5
538,35.2,107.733333,5
539,35.2,107.733333,15
540,35.2,107.733333,15
541,35.2,107.733333,15
542,35.2,107.733333,15
543,35.2,107.733333,15
544,35.2,107.733333,15
545,34.5,113,0
546,34.5,113,0
547,34.5,113,0
548,-34.333333,-57.683333,20
549,-34.333333,-57.683333,20
550,-34.333333,-57.683333,40
551,-34.333333,-57.683333,40
552,39.379677,-5.388839,0
553,39.379677,-5.388839,0
554,39.379677,-5.388839,5
555,39.379677,-5.388839,5
556,39.379677,-5.388839,10
557,39.379677,-5.388839,10
558,39.379677,-5.388839,25
559,39.379677,-5.388839,25
560,42.4058,-85.4023,0
561,42.4058,-85.4023,0
562,42.4058,-85.4023,0
563,42.4058,-85.4023,0
564,46.333333,-63.166667,0
565,46.333333,-63.166667,0
566,46.333333,-63.166667,10
567,46.333333,-63.166667,10
568,46.333333,-63.166667,20
569,46.333333,-63.166667,20
570,46.333333,-63.166667,30
571,46.333333,-63.166667,30
572,46.333333,-63.166667,40
573,46.333333,-63.166667,40
